iter	Logloss
0	0.6490473218
1	0.6167859532
2	0.5910415912
3	0.5717074164
4	0.5572094815
5	0.545418106
6	0.5367443536
7	0.5294948084
8	0.523972465
9	0.5203767807
10	0.5168774529
11	0.5140432348
12	0.5121417175
13	0.5103591276
14	0.5089916007
15	0.5078544207
16	0.5070677183
17	0.5064144417
18	0.5057363654
19	0.5052432393
20	0.5048886694
21	0.5046356808
22	0.5043417036
23	0.5040898967
24	0.5039486874
25	0.5038267786
26	0.5036492596
27	0.5035468089
28	0.503492273
29	0.5033691002
30	0.5032729054
31	0.5032389763
32	0.5031897725
33	0.5031289775
34	0.5030667244
35	0.5030108291
36	0.5029849725
37	0.5029621756
38	0.5029389763
39	0.5029122503
40	0.5028931683
41	0.5028811461
42	0.5028611491
43	0.5028322029
44	0.5028329387
45	0.5028180792
46	0.502806924
47	0.5027955367
48	0.5027691726
49	0.5027525391
50	0.5027436523
51	0.5027398834
52	0.5027345207
53	0.5027296231
54	0.5027210753
55	0.5027113952
56	0.5027112286
57	0.5027001022
58	0.5027034699
59	0.5026966581
60	0.5026791571
61	0.5026778465
62	0.502668042
63	0.5026621218
64	0.5026403435
65	0.5026311383
66	0.502625789
67	0.5026131297
68	0.5026133244
69	0.5026009309
70	0.5025848685
71	0.5025745814
72	0.502554656
73	0.5025486189
74	0.5025481143
75	0.5025413446
76	0.5025414007
77	0.5025287234
78	0.5025297659
79	0.5025268454
80	0.5025106131
81	0.5025046163
82	0.5025034157
83	0.5024948321
84	0.5024914258
85	0.5024822078
86	0.502473495
87	0.5024695809
88	0.5024584209
89	0.5024555379
90	0.5024496696
91	0.5024399347
92	0.5024388172
93	0.5024318006
94	0.5024256668
95	0.5024208276
96	0.5024159824
97	0.5024103813
98	0.5024057183
99	0.5023996182
100	0.502389895
101	0.5023920071
102	0.5023842094
103	0.5023792446
104	0.5023771686
105	0.5023696519
106	0.5023595514
107	0.5023515798
108	0.5023433329
109	0.5023409612
110	0.5023387171
111	0.5023320399
112	0.5023204913
113	0.5023166429
114	0.5023079116
115	0.5023014079
116	0.5022978109
117	0.5022887033
118	0.5022828797
119	0.5022787749
120	0.5022688206
121	0.5022658914
122	0.5022639905
123	0.5022565205
124	0.5022493986
125	0.5022447614
126	0.5022362804
127	0.5022309657
128	0.5022226194
129	0.5022181004
130	0.5022083218
131	0.5021948441
132	0.502186323
133	0.5021798028
134	0.5021728351
135	0.5021687677
136	0.5021554284
137	0.5021441978
138	0.5021379897
139	0.5021288797
140	0.5021195697
141	0.5021160806
142	0.5021043321
143	0.5020963943
144	0.5020801531
145	0.5020733028
146	0.5020706514
147	0.5020613279
148	0.502049816
149	0.5020435772
150	0.5020352778
151	0.5020188251
152	0.5020123544
153	0.5020077399
154	0.5019999114
155	0.5019967976
156	0.5019913586
157	0.5019844846
158	0.5019692124
159	0.5019609226
160	0.5019589456
161	0.5019473325
162	0.5019342403
163	0.5019218193
164	0.5019191184
165	0.5019141524
166	0.5019010383
167	0.5018927288
168	0.5018841
169	0.5018763609
170	0.5018600966
171	0.501850518
172	0.5018408471
173	0.501830288
174	0.5018287414
175	0.5018224827
176	0.501808536
177	0.5018034308
