iter	Passed	Remaining
0	79	79367
1	95	47788
2	116	38554
3	141	35201
4	164	32819
5	183	30419
6	203	28845
7	222	27586
8	242	26647
9	260	25818
10	280	25235
11	300	24731
12	319	24274
13	338	23838
14	362	23799
15	381	23449
16	402	23253
17	421	22989
18	442	22826
19	460	22572
20	480	22385
21	499	22186
22	517	21995
23	536	21803
24	554	21626
25	574	21521
26	594	21412
27	612	21264
28	627	20994
29	645	20879
30	663	20744
31	681	20611
32	698	20475
33	716	20364
34	734	20258
35	753	20169
36	771	20085
37	789	19982
38	809	19940
39	826	19844
40	846	19795
41	863	19701
42	881	19622
43	899	19540
44	920	19533
45	938	19459
46	958	19436
47	978	19413
48	997	19368
49	1016	19310
50	1036	19286
51	1054	19228
52	1074	19205
53	1092	19144
54	1110	19074
55	1129	19044
56	1147	18979
57	1166	18939
58	1184	18899
59	1202	18838
60	1219	18777
61	1239	18753
62	1259	18728
63	1279	18712
64	1298	18672
65	1315	18616
66	1332	18549
67	1352	18536
68	1371	18510
69	1390	18468
70	1411	18468
71	1431	18449
72	1451	18432
73	1469	18394
74	1493	18414
75	1529	18590
76	1547	18550
77	1566	18511
78	1584	18467
79	1600	18409
80	1619	18374
81	1638	18339
82	1658	18321
83	1678	18307
84	1698	18280
85	1743	18525
86	1786	18742
87	1817	18833
88	1837	18811
89	1855	18762
90	1875	18735
91	1898	18737
92	1916	18688
93	1937	18669
94	1958	18655
95	1976	18607
96	1993	18557
97	2012	18524
98	2033	18504
99	2054	18489
100	2073	18459
101	2092	18420
102	2112	18400
103	2134	18386
104	2154	18364
105	2175	18351
106	2197	18342
107	2217	18317
108	2238	18298
109	2256	18258
110	2277	18242
111	2298	18224
112	2319	18209
113	2339	18185
114	2360	18163
115	2379	18134
116	2396	18088
117	2418	18074
118	2436	18038
119	2456	18015
120	2475	17981
121	2495	17959
122	2514	17930
123	2533	17899
124	2553	17874
125	2570	17831
126	2590	17808
127	2610	17785
128	2628	17750
129	2648	17726
130	2670	17717
131	2691	17696
132	2711	17678
133	2729	17641
134	2750	17620
135	2770	17601
136	2790	17578
137	2810	17554
138	2830	17533
139	2850	17511
140	2870	17490
141	2889	17461
142	2910	17439
143	2930	17419
144	2949	17394
145	2969	17370
146	2990	17351
147	3010	17330
148	3031	17315
149	3052	17295
150	3072	17277
151	3093	17257
152	3113	17234
153	3133	17216
154	3154	17195
155	3175	17181
156	3195	17157
157	3216	17139
158	3236	17118
159	3255	17093
160	3276	17076
161	3296	17049
162	3316	17032
163	3338	17018
164	3358	16995
165	3379	16977
166	3399	16956
167	3421	16943
168	3443	16930
169	3463	16911
170	3494	16942
171	3516	16926
172	3536	16906
173	3557	16885
174	3576	16861
175	3597	16844
176	3617	16822
177	3638	16804
178	3658	16781
179	3679	16762
180	3699	16737
181	3719	16719
182	3743	16714
183	3764	16694
184	3784	16672
185	3804	16649
186	3824	16628
187	3845	16607
188	3865	16587
189	3885	16566
190	3906	16545
191	3926	16523
192	3945	16499
193	3965	16476
194	3986	16456
195	4005	16430
196	4026	16411
197	4046	16391
198	4066	16366
199	4085	16343
200	4106	16324
201	4126	16302
202	4150	16294
203	4171	16277
204	4192	16258
205	4214	16245
206	4235	16226
207	4256	16207
208	4276	16183
209	4295	16160
210	4314	16134
211	4335	16114
212	4356	16096
213	4377	16076
214	4397	16055
215	4418	16036
216	4440	16022
217	4461	16004
218	4482	15986
219	4504	15971
220	4524	15949
221	4545	15928
222	4565	15907
223	4585	15886
224	4605	15864
225	4625	15841
226	4646	15821
227	4666	15799
228	4687	15782
229	4708	15762
230	4728	15739
231	4748	15718
232	4768	15698
233	4789	15676
234	4809	15655
235	4829	15635
236	4849	15614
237	4870	15592
238	4889	15569
239	4909	15547
240	4931	15530
241	4952	15511
242	4972	15489
243	4991	15466
244	5012	15445
245	5032	15424
246	5053	15405
247	5073	15384
248	5093	15361
249	5113	15340
250	5134	15320
251	5154	15300
252	5175	15281
253	5196	15261
254	5217	15241
255	5235	15216
256	5255	15195
257	5276	15173
258	5296	15152
259	5316	15131
260	5337	15111
261	5357	15089
262	5377	15067
263	5396	15045
264	5416	15021
265	5437	15004
266	5458	14985
267	5479	14967
268	5500	14947
269	5521	14928
270	5547	14921
271	5574	14920
